,category,id,item_nm,item_price,url,img_url
52,table,825948,원목 접이식 거실테이블 900/1100 2colors,"34,900원",https://ohou.se/productions/825948/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162157293200508512.jpg?gif=1&w=480&h=480&c=c
53,table,949142,[리퍼] 이스테지아 원목 리프트 타원 소파테이블 900 [반품/교환불가],"128,000원",https://ohou.se/productions/949142/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162753891201966650.jpg?gif=1&w=480&h=480&c=c
54,table,208720,[7%쿠폰] NEW 클린트 모던 거실테이블 4colors,"77,000원",https://ohou.se/productions/208720/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/157483404923639201.jpg?gif=1&w=480&h=480&c=c
55,table,929414,홀로그램테이블 1200x650 아크릴,"159,000원",https://ohou.se/productions/929414/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162639329843434773.jpg?gif=1&w=480&h=480&c=c
56,table,103342,플랫 원목 좌식 테이블 책상,"89,000원",https://ohou.se/productions/103342/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1552374990635_vY41QCQ.jpg?gif=1&w=480&h=480&c=c
57,table,387254,덴소 원목 좌식 거실테이블,"34,900원",https://ohou.se/productions/387254/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159316290035711702.jpg?gif=1&w=480&h=480&c=c
58,table,259449,모레이 리프트업 티테이블 2colors,"315,000원",https://ohou.se/productions/259449/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/158444061306772328.jpg?gif=1&w=480&h=480&c=c
59,table,138236,케인 오크 라탄 소파 테이블 ,"550,000원",https://ohou.se/productions/138236/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/156412789666677998.jpeg?gif=1&w=480&h=480&c=c
60,table,945288,스테인레스 모듈가구 2단 쇼파테이블(강화유리) - (S),"87,000원",https://ohou.se/productions/945288/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162737175643165549.jpg?gif=1&w=480&h=480&c=c
61,table,323353,HPM 1200 접이식 좌탁 / 라운드 테이블,"109,000원",https://ohou.se/productions/323353/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159010942954654191.jpg?gif=1&w=480&h=480&c=c
62,table,385740,댄디 LPM 리프트테이블 1200size 5colors,"69,000원",https://ohou.se/productions/385740/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1593076592_118930_22.jpg?gif=1&w=480&h=480&c=c
63,table,561864,[리퍼] 디자인 거실 소파 좌식 테이블 - 대리석/해링본/화이트타원,"36,900원",https://ohou.se/productions/561864/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160505913096916117.jpg?gif=1&w=480&h=480&c=c
64,table,513942,루니타원좌식테이블,"129,000원",https://ohou.se/productions/513942/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160257430971225904.jpg?gif=1&w=480&h=480&c=c
65,table,187964,노블 800/1000 거실테이블 소파테이블 9colors,"46,000원",https://ohou.se/productions/187964/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/157077277274556113.jpg?gif=1&w=480&h=480&c=c
